"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
34,"JPM","JPMorgan Chase & Co.","Financial","Banks - Diversified","USA",568906.55,11.96,198.11,-0.70%,6114915
35,"KEY","Keycorp","Financial","Banks - Regional","USA",13124.61,17.76,13.92,-1.90%,13504653
36,"L","Loews Corp.","Financial","Insurance - Property & Casualty","USA",16408.70,11.01,74.11,0.12%,789794
37,"MA","Mastercard Incorporated","Financial","Credit Services","USA",411328.96,35.17,442.47,-0.59%,1876929
38,"MCO","Moody's Corp.","Financial","Financial Data & Stock Exchanges","USA",73018.09,43.66,399.88,-1.46%,656105
39,"MET","Metlife Inc","Financial","Insurance - Life","USA",50091.29,24.21,70.44,-0.76%,1872331
40,"MKTX","MarketAxess Holdings Inc.","Financial","Capital Markets","USA",7595.54,29.40,200.41,-2.88%,444808
41,"MMC","Marsh & McLennan Cos., Inc.","Financial","Insurance Brokers","USA",99509.73,25.66,201.96,-0.99%,1443954
42,"MS","Morgan Stanley","Financial","Capital Markets","USA",158079.31,17.72,97.27,-1.42%,4679597
43,"MSCI","MSCI Inc","Financial","Financial Data & Stock Exchanges","USA",38797.20,33.43,489.74,-1.20%,663462
44,"MTB","M & T Bank Corp","Financial","Banks - Regional","USA",24306.28,9.84,145.66,-2.12%,657240
45,"NDAQ","Nasdaq Inc","Financial","Financial Data & Stock Exchanges","USA",34505.32,31.53,59.85,-0.58%,2030600
46,"NTRS","Northern Trust Corp.","Financial","Asset Management","USA",16721.14,18.09,81.73,-0.43%,1255739
47,"PFG","Principal Financial Group Inc","Financial","Asset Management","USA",18837.12,15.39,80.37,-0.92%,679095
48,"PGR","Progressive Corp.","Financial","Insurance - Property & Casualty","USA",118984.95,20.79,203.15,-0.99%,3075842
49,"PNC","PNC Financial Services Group Inc","Financial","Banks - Regional","USA",60148.08,12.70,151.16,-0.77%,1832917
50,"PRU","Prudential Financial Inc.","Financial","Insurance - Life","USA",42178.91,19.86,117.49,-0.20%,1106924
51,"PYPL","PayPal Holdings Inc","Financial","Credit Services","USA",63861.35,15.36,61.05,-1.80%,8132436
52,"RF","Regions Financial Corp.","Financial","Banks - Regional","USA",17071.07,10.06,18.64,-2.20%,8225882
53,"RJF","Raymond James Financial, Inc.","Financial","Capital Markets","USA",25228.05,14.73,121.71,-1.48%,627137
54,"SCHW","Charles Schwab Corp.","Financial","Capital Markets","USA",125351.56,29.52,70.53,-0.37%,5617341
55,"SPGI","S&P Global Inc","Financial","Financial Data & Stock Exchanges","USA",132969.98,47.64,424.96,-1.40%,870757
56,"STT","State Street Corp.","Financial","Asset Management","USA",22242.03,13.80,73.83,-0.11%,1760509
57,"SYF","Synchrony Financial","Financial","Credit Services","USA",17017.27,6.08,42.38,-1.94%,4891691
58,"TFC","Truist Financial Corporation","Financial","Banks - Regional","USA",50125.22,,37.46,-0.77%,6294496
59,"TROW","T. Rowe Price Group Inc.","Financial","Asset Management","USA",25737.56,13.68,115.26,-0.92%,908071
60,"TRV","Travelers Companies Inc.","Financial","Insurance - Property & Casualty","USA",48103.93,15.61,210.07,-0.14%,1404772
61,"USB","U.S. Bancorp.","Financial","Banks - Regional","USA",60920.36,12.95,39.04,-1.84%,6229482
62,"V","Visa Inc","Financial","Credit Services","USA",537988.83,30.53,268.86,-0.78%,5467755
63,"WFC","Wells Fargo & Co.","Financial","Banks - Diversified","USA",204821.30,12.26,58.75,-1.23%,12828491
64,"WRB","W.R. Berkley Corp.","Financial","Insurance - Property & Casualty","USA",19928.70,13.83,77.95,-0.79%,1292666
65,"WTW","Willis Towers Watson Public Limited Co","Financial","Insurance Brokers","United Kingdom",25527.28,25.01,249.68,-0.38%,365455
